count,ratio,pattern
862449,0.823877525871284,rrrrrrr
138757,0.13255134374011884,aaaaraa
37327,0.035657617329485476,aaaaaaa
3736,0.0035689141464076337,rarrrra
1983,0.001894313905868934,rraarra
1631,0.0015580564702330972,rrrrrra
435,4.1554541051587815E-4,rarraaa
157,1.4997845850802958E-4,rarrraa
124,1.1845432391716986E-4,rarrrrr
110,1.0508044863619906E-4,aarrrar
20,1.9105536115672558E-5,aarrraa
16,1.5284428892538046E-5,raaaraa
12,1.1463321669403535E-5,raaaaaa
10,9.552768057836279E-6,aarraaa
10,9.552768057836279E-6,rrrarra
6,5.731660834701767E-6,aaaarar
4,3.8211072231345116E-6,aaaaaar
3,2.8658304173508837E-6,arrrrar
2,1.9105536115672558E-6,rararrr
2,1.9105536115672558E-6,rraarrr
2,1.9105536115672558E-6,raaarar
2,1.9105536115672558E-6,rarrara
2,1.9105536115672558E-6,arraraa
2,1.9105536115672558E-6,rararaa
2,1.9105536115672558E-6,aaaraar
2,1.9105536115672558E-6,rarrrar
1,9.552768057836279E-7,raaarra
1,9.552768057836279E-7,rrrrrar
1,9.552768057836279E-7,aaarrar
1,9.552768057836279E-7,raarraa
1,9.552768057836279E-7,rraaraa
1,9.552768057836279E-7,araaraa
1,9.552768057836279E-7,raarrra
1,9.552768057836279E-7,rrarraa
1,9.552768057836279E-7,aaarrra
1,9.552768057836279E-7,rararar
1,9.552768057836279E-7,rrarrra
