count,ratio,pattern
2415664,0.9578165090107147,rrrrrrr
87810,0.03481687339639571,aaaaraa
12589,0.004991568377032521,aaaaaaa
1427,5.658088866490911E-4,rarrraa
958,3.7984927358782706E-4,raaaaaa
711,2.8191318739138313E-4,raaaraa
690,2.7358663755281906E-4,rarraaa
686,2.7200062805975925E-4,rraarra
648,2.5693353787569097E-4,rrrrrra
448,1.7763306322269993E-4,rarrrrr
276,1.0943465502112763E-4,rrrarra
40,1.5860094930598207E-5,rarraar
29,1.14985688246837E-5,rarrrra
18,7.137042718769193E-6,aarrrar
14,5.551033225709373E-6,aarrraa
7,2.7755166128546864E-6,aararra
5,1.982511866324776E-6,aaaarrr
5,1.982511866324776E-6,aaaarra
3,1.1895071197948656E-6,raarrar
3,1.1895071197948656E-6,aarraaa
2,7.930047465299104E-7,rararra
2,7.930047465299104E-7,rrarrrr
2,7.930047465299104E-7,rraaraa
2,7.930047465299104E-7,aaaaaar
2,7.930047465299104E-7,rrrrarr
1,3.965023732649552E-7,rrrarar
1,3.965023732649552E-7,rararaa
1,3.965023732649552E-7,aaaraaa
1,3.965023732649552E-7,aaarraa
1,3.965023732649552E-7,araarrr
1,3.965023732649552E-7,aaaaara
1,3.965023732649552E-7,raaraaa
1,3.965023732649552E-7,araaraa
1,3.965023732649552E-7,aarrrra
1,3.965023732649552E-7,rraaaaa
1,3.965023732649552E-7,ararrrr
1,3.965023732649552E-7,rraarrr
