count,ratio,pattern
3544349,0.9177184823611628,rrrrrrr
105635,0.02735148030970467,rarrrrr
85184,0.022056217150583448,aaaaraa
37788,0.00978423569785696,raaaraa
24177,0.006260015519929283,rarrraa
9968,0.0025809585433533974,aaaaaaa
8434,0.002183768494647126,arrrraa
3910,0.0010123944526998177,aarrrar
3573,9.251369257024166E-4,rrarraa
2296,5.944904509971308E-4,aarrrra
2279,5.900887359853925E-4,rrraraa
2134,5.525446961793891E-4,raarrar
2069,5.357146093698013E-4,aarrraa
1557,4.0314531019274073E-4,ararrar
1545,4.000382172432784E-4,raaaaaa
1453,3.7621717129740034E-4,rararar
1424,3.6870836333619965E-4,rarrrra
1368,3.5420859623870864E-4,raarrra
1309,3.3893205590385204E-4,raarraa
1154,2.987987719732966E-4,arrarar
1078,2.791205166267017E-4,ararrra
1058,2.7394202837759774E-4,rararaa
1034,2.67727842478673E-4,rararra
997,2.5814763921783076E-4,rarraaa
981,2.540048486185476E-4,rrrrrra
941,2.4364787212033978E-4,rraarar
937,2.42612174470519E-4,ararraa
911,2.358801397466839E-4,aaarrrr
808,2.0921092526379867E-4,arrarra
793,2.053270590769707E-4,aaarrar
756,1.9574685581612845E-4,aararrr
725,1.8772019903001737E-4,arraraa
718,1.85907728142831E-4,rraarra
675,1.7477397840725756E-4,raaarrr
668,1.7296150752007118E-4,aaarrra
662,1.7140796104533998E-4,rraaraa
626,1.6208668219695293E-4,aararar
600,1.553546474731178E-4,araarrr
576,1.4914046157419312E-4,raaarar
540,1.3981918272580604E-4,aararra
507,1.3127467711478456E-4,araarar
498,1.289443574026878E-4,raaarra
471,1.2195339826639748E-4,aaaarrr
456,1.1806953207956954E-4,araarra
345,8.932892229704274E-5,rrrarra
288,7.457023078709656E-5,aaarraa
232,6.007046368960556E-5,aararaa
193,4.99724116038529E-5,rrrrraa
127,3.288340038180994E-5,araaraa
117,3.0294156257257975E-5,rrrrrar
113,2.925845860743719E-5,arrraaa
96,2.485674359569885E-5,rarrrar
89,2.3044272708512478E-5,aaaarar
60,1.553546474731178E-5,aarraar
60,1.553546474731178E-5,rraraaa
58,1.501761592240139E-5,aaaarra
40,1.0356976498207854E-5,aaaraaa
38,9.839127673297461E-6,aarrara
37,9.580203260842265E-6,arrrrar
32,8.285581198566284E-6,raaraar
32,8.285581198566284E-6,rrraaaa
32,8.285581198566284E-6,rarraar
29,7.508807961200695E-6,raarara
29,7.508807961200695E-6,araraar
24,6.214185898924713E-6,rrarrrr
23,5.955261486469516E-6,raraaar
23,5.955261486469516E-6,raraara
23,5.955261486469516E-6,arraara
22,5.69633707401432E-6,rrrarrr
21,5.437412661559124E-6,aaraaaa
21,5.437412661559124E-6,aaraarr
19,4.919563836648731E-6,arrrrrr
18,4.660639424193535E-6,rraaaar
17,4.401715011738338E-6,arraaar
17,4.401715011738338E-6,arrrrra
17,4.401715011738338E-6,aarrrrr
17,4.401715011738338E-6,ararara
14,3.624941774372749E-6,aaararr
13,3.366017361917553E-6,rraarrr
13,3.366017361917553E-6,rrarrar
12,3.1070929494623563E-6,araaaaa
11,2.84816853700716E-6,raaaarr
10,2.5892441245519636E-6,rrarrra
10,2.5892441245519636E-6,rraaara
9,2.3303197120967675E-6,rrrarar
9,2.3303197120967675E-6,rrrraar
9,2.3303197120967675E-6,rrrraaa
9,2.3303197120967675E-6,aarraaa
8,2.071395299641571E-6,aaaaaar
8,2.071395299641571E-6,arrarrr
7,1.8124708871863745E-6,rrrrarr
7,1.8124708871863745E-6,araaarr
6,1.5535464747311782E-6,rararrr
6,1.5535464747311782E-6,rarrarr
6,1.5535464747311782E-6,raarrrr
5,1.2946220622759818E-6,raaraaa
4,1.0356976498207854E-6,rarrara
4,1.0356976498207854E-6,aaaaara
2,5.178488249103927E-7,raaaara
2,5.178488249103927E-7,rraaaaa
2,5.178488249103927E-7,araraaa
2,5.178488249103927E-7,raraaaa
2,5.178488249103927E-7,raraarr
1,2.5892441245519636E-7,aaaraar
1,2.5892441245519636E-7,ararrrr
1,2.5892441245519636E-7,araaaar
1,2.5892441245519636E-7,arraaaa
1,2.5892441245519636E-7,aaraara
1,2.5892441245519636E-7,araaara
1,2.5892441245519636E-7,aaarara
1,2.5892441245519636E-7,arrraar
1,2.5892441245519636E-7,rrraara
1,2.5892441245519636E-7,aaraaar
