count,ratio,pattern
642082,0.5255721210593264,rrrrrrr
363022,0.29714934000828364,aaaaraa
205829,0.16848001362056575,aaaaaaa
3355,0.002746213826511318,rraarra
2566,0.0021003829147028443,rrrrrra
1544,0.001263831340725328,rarrrra
735,6.016295566276658E-4,rarraaa
429,3.511552106030866E-4,rrrarra
404,3.3069162024160133E-4,raaaraa
363,2.9713133204876556E-4,rarrraa
338,2.766677416872803E-4,raaaaaa
203,1.6616435373526008E-4,aarrrar
184,1.506120250605313E-4,rarrrrr
73,5.975368385553688E-5,aarraaa
56,4.583844240972692E-5,aaaaaar
41,3.356028819283578E-5,aaaraaa
38,3.1104657349457554E-5,aaraaaa
36,2.946757012053873E-5,aaaaara
35,2.8649026506079324E-5,aarrraa
31,2.5374852048241686E-5,araaaaa
18,1.4733785060269366E-5,aaaarar
13,1.064106698797232E-5,aaraara
13,1.064106698797232E-5,rraaaaa
12,9.822523373512911E-6,arraaaa
10,8.185436144594092E-6,aararaa
10,8.185436144594092E-6,raaarar
9,7.366892530134683E-6,aaaraar
9,7.366892530134683E-6,araaara
9,7.366892530134683E-6,raaaaar
8,6.548348915675274E-6,raaaara
8,6.548348915675274E-6,aaarraa
7,5.729805301215865E-6,araaaar
7,5.729805301215865E-6,aaarara
7,5.729805301215865E-6,aaaarra
6,4.9112616867564555E-6,aaarrar
6,4.9112616867564555E-6,rarraar
6,4.9112616867564555E-6,araaraa
6,4.9112616867564555E-6,aaaaarr
6,4.9112616867564555E-6,raaraaa
5,4.092718072297046E-6,aaraaar
5,4.092718072297046E-6,aaarrra
5,4.092718072297046E-6,raraaaa
5,4.092718072297046E-6,rraaraa
5,4.092718072297046E-6,araraaa
5,4.092718072297046E-6,aarrara
4,3.274174457837637E-6,rrarrrr
4,3.274174457837637E-6,rararra
4,3.274174457837637E-6,arrarra
4,3.274174457837637E-6,arrraaa
4,3.274174457837637E-6,raarrrr
4,3.274174457837637E-6,rarrrar
4,3.274174457837637E-6,raraara
4,3.274174457837637E-6,arraaar
3,2.4556308433782278E-6,rraraaa
3,2.4556308433782278E-6,raarraa
3,2.4556308433782278E-6,aaaarrr
3,2.4556308433782278E-6,ararraa
3,2.4556308433782278E-6,aarrrra
3,2.4556308433782278E-6,rarrara
3,2.4556308433782278E-6,rrrraaa
3,2.4556308433782278E-6,aararra
3,2.4556308433782278E-6,aarrrrr
2,1.6370872289188186E-6,aarraar
2,1.6370872289188186E-6,raaaarr
2,1.6370872289188186E-6,raaarra
2,1.6370872289188186E-6,rrraraa
2,1.6370872289188186E-6,araaarr
2,1.6370872289188186E-6,raaraar
2,1.6370872289188186E-6,arrrrrr
2,1.6370872289188186E-6,aararar
2,1.6370872289188186E-6,arrrarr
2,1.6370872289188186E-6,ararrar
2,1.6370872289188186E-6,raarrar
2,1.6370872289188186E-6,rrrrarr
2,1.6370872289188186E-6,rrarara
2,1.6370872289188186E-6,rraaaar
2,1.6370872289188186E-6,arraarr
2,1.6370872289188186E-6,rraaara
1,8.185436144594093E-7,rararar
1,8.185436144594093E-7,arrrrra
1,8.185436144594093E-7,rrrrrar
1,8.185436144594093E-7,arrrraa
1,8.185436144594093E-7,rrrarar
1,8.185436144594093E-7,raraaar
1,8.185436144594093E-7,ararrra
1,8.185436144594093E-7,arrarrr
1,8.185436144594093E-7,arraara
1,8.185436144594093E-7,rraarrr
1,8.185436144594093E-7,rrrarrr
1,8.185436144594093E-7,ararrrr
1,8.185436144594093E-7,rraraar
1,8.185436144594093E-7,araraar
1,8.185436144594093E-7,arrrrar
1,8.185436144594093E-7,rrarrra
1,8.185436144594093E-7,raaarrr
1,8.185436144594093E-7,rrararr
1,8.185436144594093E-7,araarar
1,8.185436144594093E-7,araarrr
1,8.185436144594093E-7,arraraa
1,8.185436144594093E-7,ararara
1,8.185436144594093E-7,aaararr
1,8.185436144594093E-7,rararrr
1,8.185436144594093E-7,rararaa
1,8.185436144594093E-7,arrrara
1,8.185436144594093E-7,raarrra
