count,ratio,pattern
3455520,0.9116326876269301,rrrrrrr
96951,0.02557753990661854,rarrrrr
61947,0.016342810951875675,aaaaraa
56333,0.014861729693964395,raaaraa
32298,0.008520834069828735,rarrraa
12352,0.0032586953505023383,arrrraa
11915,0.0031434063391544173,aaaaaaa
5925,0.0015631290440192968,aarrrar
5431,0.0014328023355390381,rrarraa
3475,9.167718865767183E-4,aarrrra
3335,8.798371918657139E-4,rrraraa
3058,8.067592601875122E-4,raarrar
3048,8.041210677081547E-4,aarrraa
2141,5.648370098304328E-4,rararar
2129,5.616711788552039E-4,ararrar
1917,5.057414982928256E-4,raarrra
1833,4.8358068146622297E-4,raarraa
1609,4.244851699286158E-4,arrarar
1543,4.070730995648565E-4,ararrra
1504,3.967841488953624E-4,rararra
1444,3.8095499401921766E-4,rarrrra
1424,3.756786090605027E-4,rararaa
1335,3.521986959942213E-4,rraarar
1289,3.40063010589177E-4,raaaaaa
1266,3.339951678866548E-4,ararraa
1253,3.305655176634901E-4,aaarrrr
1223,3.226509402254177E-4,rarraaa
1148,3.0286449663023674E-4,arrarra
1054,2.780654873242766E-4,arraraa
1041,2.746358371011119E-4,aaarrar
1016,2.6804035590271825E-4,aararrr
995,2.625001516960676E-4,rraarra
948,2.5010064704308747E-4,aaarrra
895,2.3611822690249292E-4,rraaraa
839,2.2134434901809115E-4,aararar
821,2.165956025552477E-4,araarrr
814,2.147488678196975E-4,raaarrr
768,2.0261318241465316E-4,rrrrrra
753,1.9865589369561697E-4,raaarar
713,1.8810312377818712E-4,aararra
657,1.7332924589378532E-4,araarar
655,1.7280160739791383E-4,raaarra
601,1.5855536800938352E-4,araarra
596,1.572362717697048E-4,aaaarrr
465,1.2267595029012202E-4,rrrrraa
190,5.0125657107791796E-5,rrrarra
187,4.9334199363984555E-5,aaarraa
175,4.61683683887556E-5,rarrrar
171,4.511309139701262E-5,rrrrrar
164,4.326635666146239E-5,aararaa
118,3.113067125641806E-5,arrraaa
72,1.8994985851373733E-5,araaraa
62,1.635679337201627E-5,aarraar
57,1.503769713233754E-5,rraraaa
55,1.4510058636466046E-5,aaaarar
53,1.3982420140594554E-5,arrrrar
51,1.3454781644723061E-5,rrraaaa
46,1.213568540504433E-5,aaaarra
45,1.1871866157108583E-5,raaraar
40,1.0552769917429852E-5,aaaraaa
37,9.761312173622613E-6,raarara
35,9.23367367775112E-6,araraar
34,8.969854429815374E-6,raraaar
31,8.178396686008135E-6,rrarrrr
29,7.650758190136643E-6,aarrara
27,7.12311969426515E-6,arraara
27,7.12311969426515E-6,arrrrra
27,7.12311969426515E-6,aaraarr
26,6.859300446329403E-6,aaararr
26,6.859300446329403E-6,rarraar
24,6.331661950457911E-6,arrrrrr
23,6.067842702522165E-6,rraaaar
22,5.804023454586418E-6,arraaar
22,5.804023454586418E-6,raraara
19,5.012565710779179E-6,raaaarr
19,5.012565710779179E-6,rraaara
19,5.012565710779179E-6,rrrarrr
18,4.748746462843433E-6,araaarr
17,4.484927214907687E-6,aaraaaa
17,4.484927214907687E-6,rrarrar
17,4.484927214907687E-6,aarrrrr
16,4.221107966971941E-6,rraarrr
16,4.221107966971941E-6,ararara
14,3.693469471100448E-6,rrrarar
12,3.1658309752289556E-6,raarrrr
11,2.902011727293209E-6,rrrraaa
11,2.902011727293209E-6,aaaaaar
11,2.902011727293209E-6,aaaaara
10,2.638192479357463E-6,arrarrr
10,2.638192479357463E-6,aarraaa
9,2.3743732314217166E-6,rrrraar
9,2.3743732314217166E-6,ararrrr
9,2.3743732314217166E-6,araaaaa
9,2.3743732314217166E-6,rrarrra
7,1.846734735550224E-6,rararrr
6,1.5829154876144778E-6,raaraaa
5,1.3190962396787315E-6,rrrrara
4,1.0552769917429853E-6,raraaaa
4,1.0552769917429853E-6,rarrarr
3,7.914577438072389E-7,rrrrarr
3,7.914577438072389E-7,rarrara
2,5.276384958714926E-7,aaarara
2,5.276384958714926E-7,raaaaar
2,5.276384958714926E-7,araaara
2,5.276384958714926E-7,arraaaa
1,2.638192479357463E-7,aaaraar
1,2.638192479357463E-7,aaraaar
1,2.638192479357463E-7,arrrara
1,2.638192479357463E-7,rrraara
1,2.638192479357463E-7,raaaara
1,2.638192479357463E-7,arrrarr
1,2.638192479357463E-7,aaaaarr
1,2.638192479357463E-7,arrraar
