count,ratio,pattern
2186452,0.9671707654551663,rrrrrrr
67231,0.02973943984698328,raaaraa
4456,0.001971098807962956,aaaaraa
1035,4.578292787795466E-4,aaaaaaa
582,2.574460292267595E-4,rarrrrr
556,2.4594500386611394E-4,raaaaaa
260,1.1501025360645615E-4,rrrrrra
48,2.1232662204268826E-5,rarraaa
18,7.96224832660081E-6,rarrraa
14,6.192859809578408E-6,rarrrra
4,1.7693885170224022E-6,rrrrraa
4,1.7693885170224022E-6,rarraar
2,8.846942585112011E-7,aararaa
2,8.846942585112011E-7,aarraaa
2,8.846942585112011E-7,rrrarra
1,4.4234712925560056E-7,aarrrrr
1,4.4234712925560056E-7,raarraa
